track,artist,uri,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature,chorus_hit,sections,target,num_artists,release_type
A Kind Of Magic,Queen,spotify:track:1LFK84nUerBbYfFd1LmnTm,0.671,0.775,9,-5.873,1,0.0354,0.018,0.00283,0.121,0.695,130.121,264253,4,26.96464,15,1,1,album
Satch Boogie,Joe Satriani,spotify:track:3ExNcJ7LkInTekJg13FQSq,0.46,0.951,2,-6.869,1,0.108,0.00285,0.833,0.0523,0.336,108.005,192600,4,35.48194,7,0,1,album
Down Boys,Warrant,spotify:track:0dw3dXWx6dgp7Ri3HeDBUq,0.606,0.85,8,-10.721,1,0.0389,0.00882,0.000215,0.0965,0.543,113.794,243040,4,75.04674,10,1,1,album
Nuvem de Lágrimas (feat. Chitãozinho & Xororó),Fafá de Belém,spotify:track:3dg5bIZVUsAySwkjKBHsvZ,0.515,0.469,5,-9.995,1,0.0292,0.551,0.0,0.435,0.652,107.062,255960,3,48.25344,12,0,2,album
El Enamorado,Aries Vigoth,spotify:track:7E8fFEB36PSW1LyVE1QF4S,0.669,0.607,1,-7.276,1,0.0467,0.248,0.0,0.134,0.907,93.495,163000,3,43.71329,8,0,1,album
Stranger,Jefferson Starship,spotify:track:4wF2bTARfLo0uFQngz1PNk,0.554,0.856,11,-6.293,0,0.0666,0.105,0.00148,0.614,0.578,142.174,283280,4,54.98042,9,1,1,album
Let Him Go,Animotion,spotify:track:59p7eFF87B2vy8lcJV9HRF,0.496,0.654,9,-11.235,0,0.0351,0.15,1.16e-06,0.165,0.74,137.344,267933,4,50.99813,10,1,1,compilation
Devil In A Fast Car,Sheena Easton,spotify:track:6c2TX6CaZUDYv7Xao88Rv5,0.702,0.696,9,-8.497,1,0.0355,0.295,5.12e-05,0.0987,0.502,110.188,227040,4,26.04986,10,1,1,album
It's Raining Again,Supertramp Featuring Roger Hodgson,spotify:track:2bzBI23EJWHjXmGj3xlYaM,0.603,0.674,10,-6.808,1,0.0295,0.62,0.00261,0.26,0.559,121.261,264240,4,80.8838,11,1,1,album
Don't Be My Enemy,Wang Chung,spotify:track:2mFecirMAGHqJVHYt9e8tN,0.718,0.686,7,-12.441,1,0.0317,0.0991,0.00246,0.152,0.937,113.255,263933,4,97.14449,9,1,1,album
Happy Ending,Joe Jackson,spotify:track:1qv9TWDpXh50DPLgWD4bnH,0.635,0.808,9,-5.026,1,0.0262,0.0973,0.0,0.141,0.726,131.377,218467,4,18.9546,8,1,2,album
No More Lies,Michel'le,spotify:track:1Oz5bcZyzhiaEa3F06EiPY,0.834,0.871,10,-6.972,0,0.0821,0.15,0.0721,0.287,0.835,110.294,225840,4,34.48771,9,1,1,album
The Greatest Gift Of All,Kenny Rogers,spotify:track:2gMSAKqCxiYbITg2cAk1H4,0.477,0.317,8,-11.722,1,0.0259,0.475,5.22e-05,0.19,0.117,137.691,223693,4,47.0784,10,1,2,album
O último romântico,Lulu Santos,spotify:track:0ZpH1N2msgGBp7wlh159QU,0.716,0.494,4,-14.118,1,0.0288,0.62,1.28e-05,0.303,0.805,129.864,252307,4,19.88463,11,0,1,compilation
Point Of No Return,Nu Shooz,spotify:track:09PFYYJuXJ961Kp8ZIxxpx,0.691,0.839,5,-10.401,1,0.05,0.0193,0.0701,0.0503,0.808,109.152,266040,4,71.20601,10,1,1,album
Satori thème - 2006 Remaster,Étienne Daho,spotify:track:6ndwmah1dg7Vcda25Ll13R,0.517,0.966,7,-4.346,1,0.0351,0.00113,0.705,0.356,0.961,128.909,111973,4,32.78995,7,0,1,album
I Wanna Rock,Twisted Sister,spotify:track:70Z9t1qhytWtG4cCmmi7mU,0.504,0.911,2,-2.97,1,0.0738,0.00512,0.0123,0.355,0.671,106.244,179760,4,64.71701,7,1,1,album
Monumentos de amor,Alejandro Conde,spotify:track:2lU66rkI7iJ2I5EdZSYXZk,0.487,0.762,0,-5.001,0,0.0605,0.861,0.0,0.261,0.82,172.477,208293,3,24.15036,10,0,1,album
Sorry Somehow,Hüsker Dü,spotify:track:4yhaE4g4dZRp4xOUgid9cr,0.388,0.831,9,-11.729,0,0.0424,0.00115,0.162,0.234,0.412,151.995,269067,4,80.63154,10,0,1,album
Last Letter Home,Sam Bush,spotify:track:1rrQ7KvE3c1YyiQAW7jvV5,0.6,0.219,5,-18.245,1,0.032,0.894,0.0086,0.126,0.691,76.452,208227,4,41.36898,10,0,1,album
Johnny the Fox (Radio Version),Tricky Tee,spotify:track:1tk5ktXtGV3IW2x0ykUanu,0.834,0.939,11,-8.057,0,0.224,0.0187,0.000151,0.0465,0.533,102.374,210160,4,32.91498,8,0,1,single
choronzon,Tangerine Dream,spotify:track:6r5fxBgcEHRMUPsWqOclVC,0.447,0.706,9,-13.763,0,0.064,0.244,0.776,0.112,0.778,198.965,248693,4,27.06957,13,0,1,album
United Together,Aretha Franklin,spotify:track:2XxQltrFSfmsKD8mJIKqn8,0.52,0.386,6,-10.802,1,0.0271,0.335,1.22e-05,0.0876,0.48,107.871,303427,4,40.23909,11,1,1,album
Call Me,Skyy,spotify:track:5wQ4djiNq19XCQY7Z00uG0,0.794,0.636,2,-8.698,1,0.0756,0.00297,0.0141,0.0753,0.847,121.213,382333,4,46.48354,18,1,1,album
Feierabend,Ton Steine Scherben,spotify:track:0jOAKbpsVe1BrcGxRiOVAh,0.317,0.767,9,-6.78,1,0.0357,0.000983,0.000404,0.974,0.681,117.737,231800,3,32.15643,10,0,1,album
Don't Fall In Love With A Dreamer,Kenny Rogers with Kim Carnes,spotify:track:6xSrfSM8IvRPzwbC4VjBcg,0.575,0.219,9,-16.678,1,0.0274,0.531,0.0,0.0946,0.329,79.976,222067,4,31.14791,11,1,2,album
Life's What You Make It,Talk Talk,spotify:track:2iWTHXaFtRSMhd5OLpYD7f,0.525,0.804,1,-7.575,1,0.0321,0.00367,0.285,0.0382,0.935,91.951,268893,4,28.95169,11,1,1,album
Maybe I Was Wrong,The Prisoners,spotify:track:6uB4ssJF3lGhOcfOftTCSX,0.281,0.859,9,-8.203,1,0.0469,1.16e-05,0.00517,0.149,0.732,163.376,161267,4,30.62036,8,0,1,album
Two Hearts,Phil Collins,spotify:track:0vDSWxRlWN0LWsSQdGIPuE,0.568,0.912,7,-3.25,1,0.0366,0.297,0.0497,0.0717,0.729,155.546,204253,4,39.64395,10,1,1,compilation
Ach Golgotha (Maldoror Is Dead),Current 93,spotify:track:3xBRiALaydbc6R4oC2uV2c,0.22,0.729,5,-16.26,1,0.153,0.862,0.783,0.147,0.0342,117.177,1141400,3,21.07892,50,0,1,album
Lose My Breath,My Bloody Valentine,spotify:track:1Ma06PrhbT07YFTlM48rAK,0.378,0.606,6,-13.003,1,0.0261,0.00362,0.84,0.116,0.436,91.875,217627,4,33.67345,8,0,1,album
Don't Lose Any Sleep,John Waite,spotify:track:4QyU0TsIhQbSBuiTjqMUFO,0.667,0.593,9,-12.518,1,0.0383,0.129,0.0,0.0355,0.668,104.901,227960,4,27.99957,8,1,1,album
Likes Of Me,Tony Rice,spotify:track:1LZ2fRvjNdqqbR93Lilvh1,0.621,0.406,9,-17.333,1,0.0327,0.531,0.00583,0.358,0.95,114.23,175866,4,23.9329,10,0,6,album
Everyday,James Taylor,spotify:track:4fqlTmlufMMWMBWxbLywKl,0.755,0.335,4,-16.312,1,0.0316,0.491,0.000271,0.0685,0.481,102.583,193960,4,29.98306,12,1,1,album
Guns And People,Éric Serra,spotify:track:1v404VXRJKBzLwrHw8AUnD,0.637,0.674,10,-9.86,1,0.0441,0.225,1.22e-06,0.0628,0.698,133.547,238133,4,54.21284,11,0,2,album
Son Desangrado,Silvio Rodríguez,spotify:track:1yASj1BRYlJW5mp0FzoemC,0.55,0.396,4,-14.93,0,0.0577,0.549,0.000723,0.0728,0.67,96.952,303064,4,21.68824,11,0,1,album
"Concerto for Piano Duet and Strings, Op. 32: II. Larghetto",Malcolm Arnold,spotify:track:68ZYD4Cjg33xt5AzYrO6Wt,0.319,0.059,2,-22.176,0,0.0323,0.929,0.285,0.0733,0.0387,72.282,428907,4,60.20299,16,0,5,compilation
Premonitions – The Fantasy,Bobb Trimble,spotify:track:6mi6FxGq7xzZgUhO9wtSRc,0.513,0.675,9,-7.956,1,0.0302,0.386,7.62e-06,0.0863,0.567,97.129,360747,4,31.76545,18,0,1,album
When It's Love,Van Halen,spotify:track:7gG1RvwQRrofiL3tvq8pBI,0.563,0.623,2,-12.327,1,0.0252,0.0494,0.000159,0.184,0.393,99.34,337907,4,38.26059,15,1,1,album
Untergang,Slime,spotify:track:1y5kwVhMv9rqxECnOW3TWq,0.253,0.936,2,-5.071,0,0.292,0.000921,0.0,0.0959,0.127,148.362,152013,4,24.80514,8,0,1,album
Never Had A Lot To Lose,Cheap Trick,spotify:track:3PFZQsT6UQ6jpYrcbDRwk2,0.45,0.756,4,-13.32,1,0.0536,0.289,0.0,0.13,0.541,138.371,203160,4,49.38847,11,1,1,album
Tax Payin' Blues,J.B. Lenoir,spotify:track:7wV5BgDbPmSOupQet2bc3h,0.839,0.349,9,-8.263,0,0.0504,0.774,0.0011,0.0904,0.874,112.722,141227,4,35.82879,7,0,1,album
Do You Compute?,Donnie Iris,spotify:track:5kOy9p5jcHe5j2LWgXbRgj,0.65,0.491,1,-9.872,0,0.0338,0.0012,0.146,0.0425,0.771,115.947,220467,4,46.45197,8,1,1,compilation
Make Me Lose Control,Eric Carmen,spotify:track:31HhcRSNcS8Rgv9ldIfh66,0.724,0.619,4,-9.074,1,0.0242,0.0728,0.0,0.205,0.746,109.029,285947,4,75.57595,9,1,1,compilation
Antoñete - Remasterizado,El Fary,spotify:track:2S0EXtwjgPAh0FRWTorZyq,0.538,0.558,1,-6.167,0,0.0522,0.776,0.0,0.0408,0.686,119.625,200693,4,27.0874,12,0,1,album
Thriller,Michael Jackson,spotify:track:7azo4rpSUh8nXgtonC6Pkq,0.764,0.887,11,-3.725,1,0.0738,0.0816,0.000108,0.847,0.721,118.421,358053,4,44.77455,9,1,1,compilation
Voices,Roger Eno,spotify:track:3JU3oDXq0VZKJz5DyMaHt5,0.218,0.0439,2,-27.38,0,0.0415,0.958,0.855,0.0899,0.0366,63.864,152027,4,25.5691,9,0,1,album
"El Tiempo, el Implacable, el Que Paso (with Luis Eduardo Aute)",Pablo Milanés,spotify:track:7DnP0lvvoFCMdWigNm3WFX,0.252,0.149,7,-16.617,1,0.0329,0.911,0.00185,0.143,0.235,91.195,171707,4,27.6893,9,0,2,album
Paid In Full - Seven Minutes Of Madness - The Coldcut Remix,Eric B. & Rakim,spotify:track:5XQPpKiBjXUI4bIenLBxci,0.812,0.698,4,-8.887,0,0.126,0.00198,0.0869,0.33,0.291,98.211,429560,4,22.77479,16,0,1,album
Is This Love,Survivor,spotify:track:6rt4FH5qFgXGmyhgKmlJcL,0.679,0.772,3,-8.946,1,0.0328,0.557,0.0,0.0338,0.749,118.129,222560,4,27.70741,10,1,1,album
Candy,Cameo,spotify:track:0Aj8EagrPfDoOe5OlUdrLC,0.705,0.709,11,-12.649,0,0.0489,0.119,1.69e-05,0.286,0.853,110.523,339933,4,37.8506,13,1,1,album
Only The Young,Journey,spotify:track:1E2iehquphUsbmj8VTzWdQ,0.331,0.833,7,-6.204,1,0.0408,0.0115,0.0,0.209,0.527,72.369,244960,4,60.85756,10,1,1,compilation
Chiclanera,Carlos Cano,spotify:track:6IjkdC0mG180vHLIHnYAjk,0.618,0.135,5,-15.456,1,0.0362,0.534,1.25e-06,0.205,0.534,114.78,219429,4,31.40259,13,0,1,album
Manwhole,Skinny Puppy,spotify:track:2CTwcfa1dlv8YyKcFhQma9,0.646,0.714,11,-13.93,0,0.0516,0.0445,0.878,0.143,0.644,91.625,104333,4,28.95024,5,0,1,album
Philharmonic Concerto Op. 120: III. Chacony,Malcolm Arnold,spotify:track:6BHRjfELXjEIvnG05176Q7,0.212,0.248,10,-14.939,1,0.037,0.941,0.918,0.0954,0.0374,112.274,213667,5,99.87782,9,0,3,compilation
Desperate But Not Serious,Adam Ant,spotify:track:7vDvtRSQ1WsGy87TrpBQGM,0.586,0.913,9,-4.209,1,0.0443,0.0201,0.156,0.157,0.795,136.61,254733,4,19.93288,11,1,1,album
I Call Your Name,Switch,spotify:track:1DEI0amdbd2i5hTs3fXtfs,0.519,0.643,11,-8.268,1,0.0795,0.648,0.00144,0.307,0.832,79.91,455200,4,22.1248,17,1,1,compilation
Wild Women With Steak-Knives (The Homicidal Love Song For Solo Screen),Diamanda Galás,spotify:track:4H3kKEvV8YQLZk0O4Oajjm,0.459,0.568,1,-19.222,0,0.903,0.916,0.276,0.783,0.139,140.187,724000,4,140.20809,19,0,1,album
Rock 'n' Roll Is King,Electric Light Orchestra,spotify:track:4pZnzl9t4eCCra5HDI87wi,0.366,0.73,9,-12.746,1,0.0668,0.423,4.31e-06,0.163,0.729,160.093,225000,4,83.38139,5,1,1,compilation
Just What You Want - Just What You'll Get(live),John's Children,spotify:track:0FlbhfX4yZQwKnDlSJIjRd,0.286,0.733,2,-13.958,1,0.0653,0.0031,0.851,0.919,0.303,116.266,220200,4,40.19889,10,0,1,album
Deep River Woman,Lionel Richie,spotify:track:73z7dVlNW3v4YrIoMnEHEs,0.604,0.49,1,-8.559,1,0.0296,0.603,1.04e-05,0.104,0.367,142.343,249720,4,34.38365,10,1,2,album
Dark Ages,Yngwie Malmsteen,spotify:track:4likEK5J9X2SlotCB0mfxg,0.462,0.58,3,-12.802,1,0.0416,0.00561,0.458,0.275,0.464,115.245,234307,4,26.5982,12,0,1,album
Tallahassee Lassie,Flamin' Groovies,spotify:track:68xs5tLAtp1STqOQuW0ROS,0.443,0.888,11,-11.204,1,0.105,0.0308,0.0,0.382,0.575,144.442,142733,4,34.57584,7,0,1,album
It's Gonna Take A Miracle,Deniece Williams,spotify:track:4dkPHgfdLiZOrN5NrespoF,0.801,0.43,7,-12.075,1,0.06,0.109,0.00511,0.043,0.806,122.865,259867,4,23.63498,10,1,1,compilation
Dummy Line,Matthew Young,spotify:track:1d0p4bWY5bqygOrDpcK2F2,0.731,0.388,1,-18.227,0,0.0299,0.759,0.0,0.303,0.964,105.692,245893,4,18.9114,10,0,1,album
Rock and Whirl - Remastered,Strange Advance,spotify:track:2GHpDDK7125iiaCqMdKuxt,0.511,0.73,0,-11.415,1,0.0524,0.0252,0.00766,0.126,0.8,180.069,259293,3,51.34771,15,0,1,album
Metal And Glass Exact - Live,Game Theory,spotify:track:6RWFUDU96RsqoNCb8WIj9Q,0.29,0.589,4,-9.023,1,0.0393,0.695,0.000159,0.559,0.687,120.714,214813,4,30.67995,10,0,1,album
But You Know I Love You,Dolly Parton,spotify:track:6ejEerMAcKKp1JpmEorNek,0.52,0.366,2,-12.277,1,0.0627,0.681,3.52e-06,0.092,0.425,83.744,198960,4,58.95725,7,1,1,compilation
Tempted,Squeeze,spotify:track:5r2z0FHOoFI06GZEVGDjzM,0.729,0.356,6,-13.743,0,0.0347,0.0916,0.0905,0.052,0.392,95.026,240333,4,24.61756,9,1,1,album
You Should Hear How She Talks About You,Melissa Manchester,spotify:track:3mYh6egfMyl0Dek8r9ciK6,0.753,0.834,4,-6.516,1,0.115,0.212,2.93e-05,0.259,0.852,131.909,256387,4,27.93194,12,1,1,album
Genghis Khan,Running Wild,spotify:track:0rfwgSTvtgD8tkTrsB85nv,0.216,0.932,11,-11.612,0,0.0759,1.46e-05,0.495,0.0453,0.193,164.236,253560,4,30.38894,16,0,1,album
The Last Worthless Evening,Don Henley,spotify:track:5xFXOthzXYku3MvAlc5EKg,0.731,0.505,5,-11.334,1,0.0262,0.212,0.0,0.0409,0.396,99.99,362467,4,20.78645,19,1,1,album
Pledge Pin,Robert Plant,spotify:track:0wAOWZk7n7UGc6LiJmqR2W,0.445,0.887,9,-7.077,0,0.147,0.106,0.0583,0.0862,0.646,157.226,242107,4,40.67396,16,1,1,album
Danger Zone,Kenny Loggins,spotify:track:34x6hEJgGAOQvmlMql5Ige,0.544,0.897,3,-6.056,0,0.0471,0.241,0.0,0.13,0.647,157.17,215133,4,29.33803,11,1,1,compilation
Come Sunday - Solo Piano,Tommy Flanagan,spotify:track:06lHdRiiJA6I51uTAOGaOA,0.36,0.0285,1,-23.035,1,0.0419,0.995,0.91,0.224,0.0464,79.453,215333,3,26.51685,13,0,1,album
Nightshift,Commodores,spotify:track:23IK8TF2MSiLnuEjaYPfVV,0.727,0.559,8,-10.194,1,0.0392,0.62,0.0114,0.0629,0.393,105.06,306560,4,23.46948,15,1,1,album
Night Of The Blade,Tokyo Blade,spotify:track:5zsiVdb0xIZaShQj6klzBA,0.189,0.92,0,-6.644,1,0.108,0.000161,0.0143,0.353,0.161,122.328,244067,4,55.80617,8,0,1,album
Take On Me,a-ha,spotify:track:2WfaOiMkCvy7F5fcp2zZ8L,0.573,0.902,6,-7.638,0,0.054,0.018,0.00125,0.0928,0.876,84.412,225280,4,41.13245,9,1,1,album
Under Pressure,Queen & David Bowie,spotify:track:11IzgLRXV7Cgek3tEgGgjw,0.671,0.711,2,-7.813,1,0.0478,0.422,0.0,0.104,0.466,113.809,248440,4,54.40309,9,1,2,album
Спокойная ночь,Kino,spotify:track:26sgqMLFOhRrryoaPovlI2,0.742,0.596,0,-12.965,1,0.0312,0.313,0.0271,0.197,0.348,107.401,364010,4,31.6364,14,0,1,album
Somadja,Gabelo,spotify:track:1P5KtSxBmKQqvAjwy66ljV,0.634,0.949,1,-9.842,1,0.04,0.739,0.723,0.33,0.967,82.023,335333,4,55.79926,11,0,1,album
I Found Someone,Cher,spotify:track:7cm9QkrwSWH0scegcO8XZ2,0.538,0.604,2,-10.936,0,0.0262,0.557,0.0,0.162,0.373,102.839,223160,4,28.62788,11,1,1,album
One In A Million You,Larry Graham,spotify:track:1CzgvJvt2JRy4uEX3SVaxO,0.51,0.226,10,-14.307,1,0.0292,0.666,2.3e-06,0.318,0.174,71.401,252600,4,55.62675,9,1,1,album
Most Of All,Jody Watley,spotify:track:26jC8SFZobz3bsUc32bxV8,0.729,0.708,5,-13.521,1,0.0402,0.146,0.0146,0.0508,0.889,112.729,268640,4,35.094,10,1,1,album
Why Worry,Nana Mouskouri,spotify:track:0O2ul0bjxtHNlYWcyUkEcn,0.534,0.255,1,-13.77,1,0.0256,0.895,0.00142,0.108,0.213,91.999,237493,4,41.45945,11,0,1,album
Ride This Train,The Canton Spirituals,spotify:track:0b2z0TdI3zfZHGG8L9nSvr,0.473,0.788,7,-9.134,1,0.0552,0.0435,0.0,0.944,0.627,99.995,176867,4,112.55369,4,0,1,album
Deep Thunderstorm,Nataural,spotify:track:2KzptrDRrmp9AZv2lwQG8a,0.158,0.827,5,-18.536,0,0.11,0.00145,0.95,0.184,0.0301,108.988,146054,4,36.81019,7,0,1,album
Volverte a Ver,Luis Enrique,spotify:track:415It1twH2raOgzqHQy6Gw,0.543,0.58,8,-9.427,1,0.0555,0.361,0.0,0.0614,0.856,94.481,304867,4,27.98203,13,0,1,album
Harlem Nocturne,Les Brown & His Band Of Renown,spotify:track:0tyW8gaG4ZgFUw6X6Cm3ZI,0.406,0.224,2,-13.305,0,0.0259,0.94,0.376,0.0991,0.302,87.971,168462,4,22.55495,9,0,1,compilation
Papa Don't Preach,Madonna,spotify:track:6A8OnjnpShshNpcqWtZRjr,0.807,0.906,5,-8.973,0,0.0371,0.311,0.000791,0.0248,0.971,121.54,345280,4,48.89287,14,1,1,album
Do Right,Paul Davis,spotify:track:1VVNTQPgB5OiUOSyKMqmgC,0.557,0.554,0,-7.583,1,0.0367,0.495,3.29e-06,0.108,0.664,109.022,240173,4,19.01547,10,1,1,compilation
Dungeon,Nobuo Uematsu,spotify:track:3Sd4VQPuOLoGwsogWRR2Ur,0.448,0.0968,5,-12.492,1,0.0443,0.741,0.01,0.259,0.682,120.143,106040,4,50.05343,5,0,1,album
Fool Moon Fire,Walter Egan,spotify:track:5YAumih3F3QwUpJEgSLNFL,0.513,0.896,2,-4.998,1,0.0892,0.179,0.0107,0.666,0.613,141.928,211327,4,42.85077,11,1,1,compilation
Cars With The Boom,L'Trimm,spotify:track:7AOU7oaKRWHm5SG6IFVvtJ,0.93,0.591,10,-12.01,0,0.157,0.000543,0.000205,0.0834,0.268,118.957,234373,4,19.34057,9,1,1,album
Farrucas,Niño Ricardo,spotify:track:51DmP2DJqCmwkXFCqeFx7A,0.364,0.197,11,-21.945,0,0.0365,0.87,0.916,0.339,0.68,132.001,185000,4,50.63298,8,0,2,album
I Just Can't Walk Away,Four Tops,spotify:track:0JlkEyWnAv3nUbe2oI8pNX,0.407,0.47,10,-9.157,1,0.029,0.319,1.26e-05,0.129,0.215,158.171,263893,4,36.23291,12,1,1,compilation
Warrior Of The Rising Sun,Tokyo Blade,spotify:track:0L7O1f5esGCSvugMt8BcdS,0.253,0.887,0,-6.572,1,0.116,0.000311,8.78e-05,0.109,0.172,130.724,326800,4,40.33816,13,0,1,album
You Can Call Me Al,Paul Simon,spotify:track:0qxYx4F3vm1AOnfux6dDxP,0.776,0.763,5,-8.124,1,0.0535,0.182,0.0065,0.077,0.82,128.433,280000,4,24.31106,15,1,1,album
It Would Take A Strong Strong Man,Rick Astley,spotify:track:5BDOCu3gk2HrHqEherdl27,0.817,0.61,6,-12.522,0,0.0292,0.212,0.000264,0.223,0.943,108.039,219373,4,36.23491,12,1,1,album
Sugar Hiccup,Cocteau Twins,spotify:track:0IGeBaMurIMXmYbExXUjU9,0.105,0.885,2,-8.135,1,0.0968,0.000944,0.942,0.281,0.126,169.112,222440,3,98.53196,12,0,1,album
Backfired,Debbie Harry,spotify:track:0hhtRtdTDszpG3vFsjBzKB,0.825,0.705,9,-10.721,1,0.0896,0.114,0.000486,0.0483,0.853,112.069,293467,4,66.5241,9,1,1,album
Wenn der Himmel brennt,Slime,spotify:track:2fPOQA3OgaIyfvO1LH90Q7,0.256,0.983,7,-6.434,1,0.176,0.000343,0.00236,0.974,0.127,117.054,172160,4,64.38498,8,0,1,album
Velocidad - Remix,Metal y Ca.,spotify:track:5egdnjvrjPiivPKPXTnVIW,0.707,0.869,0,-6.356,1,0.0437,0.0262,0.0962,0.143,0.624,114.91,149533,4,36.70018,7,0,1,album
It's Only Love,Bryan Adams/Tina Turner,spotify:track:5xGsNXXTu545MWoeuFfjxT,0.515,0.805,5,-4.491,1,0.0345,0.00993,1.57e-05,0.419,0.743,101.161,194618,4,28.24233,8,1,2,album
I Might Take You Back Again,The Bluegrass Album Band,spotify:track:3ifKM3w66gMX7PMDIAWEFU,0.616,0.511,9,-11.448,1,0.0323,0.589,0.000137,0.282,0.906,122.285,113640,4,48.70544,7,0,1,album
Nicole,Point Blank,spotify:track:7p5pEvfWMzRmhAQOZn095X,0.625,0.663,9,-5.993,0,0.0341,0.222,4.83e-05,0.0938,0.248,106.286,233803,4,44.87398,12,1,1,compilation
Love Has Taken Its Toll,Saraya,spotify:track:0xoTEpWW6JDmVpnoQo5Oxl,0.352,0.771,2,-9.224,1,0.0371,0.00154,0.00322,0.183,0.251,103.713,321440,4,43.86748,14,1,1,album
Why Can't This Be Love,Van Halen,spotify:track:0TaT50ZZxT4ytZxuqkE3A9,0.531,0.626,0,-13.371,1,0.0452,0.0606,0.0,0.0767,0.746,88.236,227693,4,28.25892,9,1,1,album
Another Day,Galaxie 500,spotify:track:1z4gr7jbB0WneRxX2teFiA,0.271,0.437,9,-8.218,1,0.0278,0.0448,0.127,0.0924,0.338,93.526,225200,4,25.35385,8,0,1,album
Metal Dance,Spk,spotify:track:1AZzR4p53x1R0XoboH76h8,0.642,0.943,2,-6.921,1,0.0525,0.132,0.0193,0.539,0.827,130.434,219787,4,100.04071,8,0,1,album
The Glory of Man,Minutemen,spotify:track:7fwuT8n8FPJGseqr38zJtE,0.541,0.736,4,-11.999,1,0.191,0.000483,0.767,0.0963,0.931,172.687,177560,4,33.2723,9,0,1,album
Childhood Drama,Éric Serra,spotify:track:6bij3UCuuBxhN230YNEymL,0.466,0.124,0,-16.794,1,0.0324,0.938,0.797,0.116,0.0562,146.388,144000,4,53.34848,7,0,1,album
Le ''Ça ira'',Édith Piaf,spotify:track:2tZx03LdXXkgCHdDMu4TuY,0.628,0.741,3,-4.755,1,0.419,0.835,0.0,0.659,0.825,123.447,142787,4,49.56899,7,0,1,album
Rapture,Blondie,spotify:track:6F2vo4sxRNQ58VYe3pdiaL,0.724,0.704,11,-8.258,0,0.0511,0.113,0.00425,0.466,0.96,107.486,299373,4,41.75885,9,1,1,compilation
Chupke Chupke,Ghulam Ali,spotify:track:6N2MovdrH0lgMwgKZu2ScC,0.369,0.435,10,-13.354,0,0.107,0.745,0.00122,0.706,0.722,149.579,696573,3,42.73502,31,0,1,compilation
Let's Stay Together,Tina Turner,spotify:track:19DVNifOaTnuP0iq1kTqgW,0.671,0.802,8,-5.792,0,0.0691,0.635,0.00069,0.119,0.492,104.401,316747,4,25.77875,15,1,1,album
Are You Man Enough,Blonde On Blonde,spotify:track:6UxcBTDpdtbwK3p6Bsmqcx,0.786,0.773,11,-9.327,1,0.0434,0.567,0.0551,0.648,0.934,130.485,230988,4,37.13408,13,0,1,single
Symphonic Suite For Chorus And Orchestra - Part I - Version Four,Georges Delerue,spotify:track:1zN5TNWNyVJA3d9sSwnZKz,0.0996,0.149,5,-23.662,1,0.0377,0.965,0.924,0.105,0.058,73.951,173933,3,38.96875,9,0,1,album
Envie De L'Eau,Charlelie Couture,spotify:track:4LGAjx4wVMjNa4IHWVjxB1,0.647,0.275,10,-21.58,1,0.0457,0.586,0.336,0.0791,0.398,118.478,229160,4,56.22386,10,0,1,album
Early In The Morning,Robert Palmer,spotify:track:4TnV6aJGIDTNVLqBTyYFNB,0.751,0.624,4,-13.094,0,0.0339,0.194,0.000471,0.285,0.964,119.519,281693,4,30.79247,13,1,1,album
End Credits: Final Suite,Brad Fiedel,spotify:track:0C4r0RpIao7YTb0CryezRu,0.252,0.397,3,-16.749,0,0.0782,0.84,0.907,0.0608,0.0397,129.548,632997,4,34.2971,16,0,1,album
Voy a Tumbar la Casita,Bronco,spotify:track:1Y6U3S5CWdJkj2FB5GnbiP,0.516,0.501,4,-12.743,1,0.0691,0.0751,3.74e-06,0.0693,0.94,188.676,175320,4,43.1087,9,0,1,album
Baby Can I Hold You,Tracy Chapman,spotify:track:2DjWsDGgL1xNbhnr7f6t5F,0.692,0.422,2,-10.533,1,0.0333,0.0811,0.0,0.0848,0.468,74.375,193120,4,44.55304,7,1,1,album
Love X Love,George Benson,spotify:track:1Gnufs5iuI3h5ow29J7tOO,0.798,0.534,1,-12.718,1,0.0394,0.155,0.0013,0.113,0.848,114.75,286960,4,49.36162,10,1,1,album
Addiction,Skinny Puppy,spotify:track:6XQdobXn931kRz8m7MxwqA,0.642,0.791,2,-12.816,1,0.034,0.007,0.000603,0.198,0.581,109.669,361333,4,24.17049,17,0,1,album
Hazy Shade Of Winter,The Bangles,spotify:track:0P2vAvvWni2tNXOdbH3JFk,0.48,0.866,5,-7.142,0,0.0446,0.00887,0.0,0.097,0.411,150.43,167160,4,30.57143,9,1,1,compilation
Take No Prisoners (In The Game Of Love),Peabo Bryson,spotify:track:6SpqIgl1I2dLVEBZ9VFehw,0.763,0.681,2,-12.719,1,0.0313,0.0186,0.0,0.124,0.964,120.997,256027,4,51.59474,12,1,1,album
Cómo Olvidarte,Ricardo Arjona,spotify:track:2Uwk716x1Dy9dX6hn5uSAl,0.467,0.722,11,-8.213,1,0.0422,0.159,2.29e-06,0.0484,0.943,200.019,222907,4,46.59033,9,0,1,album
Blue Harvest Blues,Mississippi John Hurt,spotify:track:05rTPp7bVg8VfOhC8G8Dd3,0.683,0.255,0,-9.632,1,0.114,0.995,0.00268,0.132,0.584,75.779,173293,4,44.44929,6,0,1,album
